µØµã,¶ÌÆÀ,³ö·¢Ê±¼ä,ÌìÊý,ÈË¾ù·ÑÓÃ,ÈËÎï,Íæ·¨,ä¯ÀÀÁ¿
Çàµº,â§²»¼°·À´³ÈëÄãµÄÈÝÑÕ£üÄãºÃ£¬Çàµº£¡£¨ÇàµºÎÄÒÕÐ¡ÖÚÓÎ¹¥ÂÔ£©,/2019/12/17,3,2000,ÈýÎåºÃÓÑ,¶ÌÍ¾ÖÜÄ©?ÉãÓ°,24000
ÏÃÃÅ,ÔÚÏÃÃÅ¹ýÅ¯¶¬??£¨ÈýÈÕÁ½Ò¹£©,/2019/12/21,3,1785,¼ÒÍ¥,¶ÌÍ¾ÖÜÄ©?ÃÀÊ³?¶¬¼¾,2874
°ÄÃÅ,¡¾µãÔÞ°ÄÃÅ¡¿Õâ²ÅÊÇ°ÄÃÅÕýÈ·µÄ´ò¿ª·½Ê½£¡,/2019/03/08,3,2300,¹ëÃÛ,Éî¶ÈÓÎ?¶ÌÍ¾ÖÜÄ©?ÃÀÊ³?Ì¤´º,2831
¹þ¶û±õ,±ù³Ç¶¬ÔÏ¡ª¡ª¹þ¶û±õ,/2019/12/24,3,1500,Ç××Ó,µÚÒ»´Î?¶ÌÍ¾ÖÜÄ©?¶¬¼¾?º®¼Ù,6777
Àö½­,¿´£¬ÔÆÀ¶£¨À¥Ã÷+´óÀí+Àö½­£©,/2019/12/13,8,1800,¼ÒÍ¥,µÚÒ»´Î?¶¬¼¾,5383
Äª¸ÉÉ½,Äª¸ÉÉ½ÖÐÒþ£¬¾²ÎÅÖý½£Éù,/2019/06/08,2,600,¹ëÃÛ,µÚÒ»´Î?¶ÌÍ¾ÖÜÄ©?¶ËÎç?ÏÄ¼¾,11000
¹ãÖÝ,×ß×ß×ßÓÎÓÎÓÎÖ®¹úÇì¹ãÖÝËÄÈÕÓÎ,/2017/10/03,4,2800,Ç××Ó,µÚÒ»´Î?¹úÇì,8637
ÎÚÕò,ÎÚÕòÎ÷ÌÁ3ÈÕÓÎ,/2019/12/10,3,1000,¶À×ÔÒ»ÈË,µÚÒ»´Î?¶ÌÍ¾ÖÜÄ©?¹ÅÕò?¶¬¼¾,8716
·ï»Ë,×ß½ø¡°ÎÄÑ§Ö®¸¸¡±Éò´ÓÎÄµÄ¼ÒÏç£¬·ï»Ë¹Å³Ç,/2019/12/20,3,2000,¹ëÃÛ,µÚÒ»´Î?ÏÄ¼¾,12000
Æ½Ò£,Æ½Ò£¹Å³Ç¹¥ÂÔÔÚ±±Î³37¶È£¬ÂýÂýµØÌý£¬Ñ©ÂäÏÂµÄÉùÒô,/2019/12/19,3,1200,Ç××Ó,Éî¶ÈÓÎ?ÃÀÊ³?¹ÅÕò,27000
ÉîÛÚ,ÉîÛÚ¶¼ÊÐÀïµÄ±¦²ØÐ¡Õò¸Ê¿Ó¿Í¼ÒÐ¡Õò¹ÊÊÂ,/2019/12/13,2,100,¶À×ÔÒ»ÈË,¶ÌÍ¾ÖÜÄ©?»·ÓÎ?ÃÀÊ³?ÉÍÇï,1716
Æ½Ò£,2020ÄêÔªµ©|ÐíÎÒÒ»³¡½úÉÆ½úÃÀµÄÃÎ--É½Î÷5Ìì¾«»ªÓÎ¹¥ÂÔ,/2019/12/16,5,1500,ÈýÎåºÃÓÑ,Éî¶ÈÓÎ?ÃÀÊ³?¹ÅÕò,32000
Ç­ÄÏ,¶ÀÉ½¼Ð·ìÑÒËÝÏªÍ½²½£¬´©Ô½²Ýº££¬ÕÒÑ°Ô­Ïç,/2019/09/28,3,800,ÈýÎåºÃÓÑ,Éî¶ÈÓÎ?¹úÇì,24000
Æ½Ò£,²»Æ½³££¬²»Ò£Ô¶£¨ÎÒÔÚÆ½Ò£¹Å³ÇµÄ10¸öÌåÑé£©,/2019/12/03,3,800,¼ÒÍ¥,Éî¶ÈÓÎ?¹ÅÕò?¶¬¼¾,12000
Ïã¸ñÀïÀ­,ÃØ¾³Éî´¦¡ª¡ª°ÍÀ­¸ñ×Ú£ºÐÐÒ»²½Ê¥ÓòÇå¾»£¬¿úÒ»ÑÛÊ®Ïà×ÔÔÚ,/2019/12/15,3,2000,¼ÒÍ¥,Éî¶ÈÓÎ?ÉãÓ°?ÉÍÇï,14000
Ì«ºþ,ÎÞÎýÂÃÐÐ¶¬¼¾µÄÌ«ºþö½Í·ä¾£¬åâåË³ÉÇ§ÉÏµÄ¡°Ë®ÉÏ¾«Áé¡±,/2019/12/03,2,1000,ÈýÎåºÃÓÑ,Éî¶ÈÓÎ?ÓÎÂÖ?ÉãÓ°,21000
ÖØÇì,Ä§»ÃÉ½³Ç£¬Ç§Àï¹ã´ó¡ª¡ªÖØÇì,/2019/11/28,4,2009,ÈýÎåºÃÓÑ,µÚÒ»´Î?¶¬¼¾,6291
ÑÓ¼ª,Ð¡Â³Ãæ¤ÎÁ½ÌìÁãÒ»Ò¹´øÄãÂþÓÎ¡°Ð¡Ê×¶û¡±¡ºÕâÀï²»½öÓÐÃÀÊ³£¬ÑÓ¼ªÓ¦¸ÃÕâÃ´Íæ¡»,/2019/09/16,2,500,ÈýÎåºÃÓÑ,Éî¶ÈÓÎ?¶ÌÍ¾ÖÜÄ©?ÉãÓ°?ÖÐÇï½Ú,6634
ÈýÑÇ,Õâ¸ö¶¬ÈÕ£¬³Á×íÔÚ±Ìº£À¶ÌìµÄÃÎÀï,/2019/12/13,1,1233,ÈýÎåºÃÓÑ,ÏÄ¼¾?¶¬¼¾,708
ÏÃÃÅ,»»Ò»ÖÖÏÃÃÅÍæ·¨£¬ÏíÊÜµØµÀµÄÃÀÊ³Óë·ç¹â,/2019/12/04,4,2500,ÇéÂÂ,Éî¶ÈÓÎ?ÃÀÊ³?ÉãÓ°,89000
ÈýÑÇ,ÈýÑÇ¹¥ÂÔØ­±±Î³18¡ã£¬ÄÏ¹úµÄÎÂ¶È,/2019/12/01,3,2000,ÈýÎåºÃÓÑ,×Ô¼Ý?ÇîÓÎ?ÃÀÊ³?¶¬¼¾?º®¼Ù,16000
³¤É³,±ÏÒµ24Äê£¬ºÍÍ¬Ñ§µÄµÚÒ»´ÎÂÃÐÐ£¨³¤É³×ÔÖúÓÎ£©2019.11.30-12.2,/2019/11/30,3,500,ÈýÎåºÃÓÑ,¶ÌÍ¾ÖÜÄ©?±ÏÒµÓÎ?ÃÀÊ³?¶¬¼¾,27000
Ïã¸ñÀïÀ­,¡°Ò°Â·¡±ÉÙÄêµÄÍæ·¨¡ª¡ªÄáÈêÍ½²½ÈÕ¼Ç,/2019/12/08,3,1000,ÇéÂÂ,µÚÒ»´Î?º®¼Ù,31000
°¢¶ûÉ½,Ð¡Â³Ãæ¤ÎÀ´×Ô°¢¶ûÉ½µÄÕÙ»½¡¤ÊÖ°ÑÊÖ½ÌÄã³©ÓÎ°¢¶ûÉ½¡ºÈ«ÊÇ¸É»õ£¬½øÀ´ÇÆÇÆ¡»,/2019/10/01,4,2000,¼ÒÍ¥,Éî¶ÈÓÎ?×Ô¼Ý?ÉãÓ°?¹úÇì,18000
Ïã¸ñÀïÀ­,ÄáÈê´åÍ½²½×îÈ«¹¥ÂÔ£¬ÉÏ°ÙÕÅÍ¼½ü×Ö¸æËßÄã×îºóµÄÃØ¾³ÓÐ¶àÃÀ£¡,/2019/12/04,2,800,ÇéÂÂ,Í½²½?ÉãÓ°?Ì½ÏÕ?¶¬¼¾,93000
ÖØÇì,ÖØÇì3ÈÕÓÎ,/2019/12/04,3,1600,ÇéÂÂ,ÃÀÊ³?ÉãÓ°,33000
µÂÇÕ,×Ô¼ÝµáÎ÷±±£¬Óö¼ûÏã°ÍÀ­£üµÏÇì72Ð¡Ê±Î÷»·Ïß×Ô¼ÝÈ«¹¥ÂÔ,/2019/12/02,5,2500,ÈýÎåºÃÓÑ,Éî¶ÈÓÎ?¶¬¼¾,24000
º¼ÖÝ,×ß½øÎ÷ÏªÊªµØ£¬×ß½üÊÀÍâÌÒÔ´°ãµÄ¶È¼ÙÊ¤µØ¡ª¡ªÊ®Àï·¼·Æ,/2019/12/02,2,1500,¶À×ÔÒ»ÈË,µÚÒ»´Î?¶ÌÍ¾ÖÜÄ©?ÉÍÇï,121000
Æ½Ò£,¡¾´¿¸É»õ¡¿ÇïÈ¥¶¬À´Ô²ÃÎ¹Å³Ç£¬Ò»·ÝÆ½Ò£¹Å³Ç×ÔÓÉÐÐ¹¥ÂÔÇëÊÕÏÂ£¡,/2019/12/07,3,600,ÈýÎåºÃÓÑ,Éî¶ÈÓÎ?ÃÀÊ³?¹ÅÕò?¶¬¼¾,6186
·¿É½,ÌýÎÒµÄ£¬Õâ¸öºìÒ¶¼¾£¬Ò»¶¨ÒªÈ¥ÆÂ·åÁë¹ý¡¶ÏòÍùµÄÉú»î¡·,/2019/10/26,2,500,ÈýÎåºÃÓÑ,¶ÌÍ¾ÖÜÄ©?ÉãÓ°,5529
³É¶¼,ÌýËµÄãÒªÈ¥³É¶¼ÂÃÐÐ£¿ÕâÆªlocalµÄ³ÔºÈÍæË¬¹¥ÂÔÒÑ°²ÅÅ¡«,/2019/12/06,2,499,ÈýÎåºÃÓÑ,Éî¶ÈÓÎ?¶ÌÍ¾ÖÜÄ©?ÃÀÊ³?¹úÇì,16.9
ÉòÑô,ÉòÑôÖÜÄ©ÓÎ,/2019/12/01,1,100,¶À×ÔÒ»ÈË,¶ÌÍ¾ÖÜÄ©,52000
³É¶¼,²©Îï¹Ý¿ØµÄ3ÈÕ³É¶¼ÐÐ£¬Õ¹ÀÀÓëÃÀÊ³¶¼²»¿É¹¼¸º,/2019/11/10,3,1500,ÈýÎåºÃÓÑ,Éî¶ÈÓÎ?ÃÀÊ³?ÉÍÇï,28000
ÎÄ³É,Íæ×ªÕãÄÏÉ½ÇøÁõ²®ÎÂ¹ÊÀï£¬ÉÙÊýÃñ×å·çÇéÅ¨Óô£¬ºìÉ«ÂÃÓÎÌØÉ«ÏÊÃ÷,/2019/12/05,3,1000,ÈýÎåºÃÓÑ,Éî¶ÈÓÎ,5375
°²Ñô,ºÓÄÏ°²Ñô3ÈÕÓÎ£¬×·ÒäÒ»¸öÍõ³¯µÄËõÓ°,/2019/12/05,3,2000,ÈýÎåºÃÓÑ,Éî¶ÈÓÎ?×Ô¼Ý?Ì¤´º?¶¬¼¾,24000
³¤É³,£ûÄ¬ÑÔ£ý´ò¸ö·ÉµÄÈ¥³¤É³,/2019/11/15,3,1500,ÈýÎåºÃÓÑ,¶ÌÍ¾ÖÜÄ©,41000
Æ½Ò£,½úÖÐÐÐ£¨Æ½Ò£¹Å³Ç¡¢ÇÇ¼Ò´óÔº¡¢Íõ¼Ò´óÔºµÈ£©,/2019/11/19,5,2800,¹ëÃÛ,¹ÅÕò?¶¬¼¾,3814
³É¶¼,¹ëÃÛ³öÌÓ¼Ç³É¶¼ËÄÌìÈýÒ¹ÖÜ±ß×Ô¼ÝÓÎ,/2019/11/02,3,1000,ÈýÎåºÃÓÑ,¶ÌÍ¾ÖÜÄ©?×Ô¼Ý?ÃÀÊ³?ÉÍÇï?º®¼Ù,13.6
ÎÞÎý,ÎÞÎýÂÃÐÐÂþ²½½­ÄÏË®Ïç»ÝÉ½¹ÅÕò£¬Ñ°ÕÒµÛÍõµÄ×ã¼£,/2019/12/03,2,1500,ÈýÎåºÃÓÑ,Éî¶ÈÓÎ?ÃÀÊ³?¹ÅÕò?¶¬¼¾,45000
ÏÃÃÅ,¡¾´ø×ÅÍú×ÐÈ¥ÂÃÐÐ¡¿ÏÃÃÅ£º³õ¶¬Àï£¬ÈÕ¹âÇã³Ç,/2019/11/09,5,2500,¼ÒÍ¥,µÚÒ»´Î,39000
À­Èø,Ò»×ù³Ç£¬Ò»±¾Êé£¬¿çÔ½Ê±¼äºÍ¿Õ¼äÈ¥·¢ÏÖ,/2019/11/30,4,2000,¶À×ÔÒ»ÈË,µÚÒ»´Î?¶¬¼¾,9916
¹þ¶û±õ,ÖÂÒ»³¡Ëµ×ß¾Í×ßµÄÂÃÐÐ#Ò»Â·Ïò±±Ö®´ó¶«±±?ÌýÑ©ÂäÏÂµÄÉùÒô,/2019/10/01,7,2000,ÇéÂÂ,»¬Ñ©?¹úÇì,2112
»³»¯,×Ô¼ÝÓÎºþÄÏ»³»¯£¬ËÄÌìÈýÍí´©Ô½¹Å½ñ£¡,/2019/11/21,4,2500,ÈýÎåºÃÓÑ,×Ô¼Ý?ÃÀÊ³?ÉãÓ°,54000
ÖØÇì,Î¢À±ÊÇÕâ×ù³ÇÊÐµÄµ×Ïß,/2019/11/27,4,1500,ÈýÎåºÃÓÑ,ÃÀÊ³?ÉãÓ°?¹ÅÕò?¶¬¼¾,55000
º¼ÖÝ,¡¾Ê«»­Õã½­¡¿³©ÓÎº¼ÖÝÑîÃ·Áë£¬ÌåÑéÐÂÓ±µÄÅ©¼ÒÉú»î,/2019/11/30,3,1500,¶À×ÔÒ»ÈË,¶ÌÍ¾ÖÜÄ©?ÉÍÇï,1902
»ªÉ³,ÓÇÓô¶øÃÀÀöµÄ²¨À¼£¬Ò»¶äÔ¡»ðÕÀ·ÅµÄ¶«Å·Ãµ¹å,/2015/02/13,1,5,ÇéÂÂ,µÚÒ»´Î?Éî¶ÈÓÎ?´º½Ú,6419
À¼ÖÝ,½ð³ÇÀ¼ÖÝ3ÈÕÉÝ»ªÃÀÊ³Ö®ÂÃ£¬´ó¿Ú³ÔÈâ´ó¿ÚàÂÃæ£¨¸½Â·ÏßÍ¼+²ÍÌüµãÆÀ£©,/2019/11/27,3,1500,ÈýÎåºÃÓÑ,µÚÒ»´Î?Éî¶ÈÓÎ?ÃÀÊ³?´º½Ú?¹úÇì,7358
Í©Â®,ÉîÇïÍ©Â®Ø­Í¥Ç°ÂäÓ¢çÍ·×£¬ÂýÏÂÀ´¡¢ÓëÉ½Ò°Ïà´¦,/2019/11/21,3,2500,ÈýÎåºÃÓÑ,¶ÌÍ¾ÖÜÄ©?×Ô¼Ý?ÃÀÊ³,12000
ÈýÑÇ,·¢´ô¡¢É¹ÈÕ¹âÔ¡¡¢³ÔÃÀÊ³¡­¡­ÊÇÊ±ºòµ½ÈýÑÇÈ¥Ã¨¶¬ÁË,/2019/11/05,3,2000,ÈýÎåºÃÓÑ,¶ÌÍ¾ÖÜÄ©?ÃÀÊ³?º£±õº£µº,16000
æÄÔ´,ÈÃ°®¸ü½üÒ»Ð©£¨¾Å»ªÉ½£¬æÄÔ´£¬¸¡Áº¹ÅÏØÑÃ£¬¾°µÂÕò£¬²é¼Ã¹ÅÕò£¬ºÏ·Ê°ü¹«Ô°£©,/2019/11/15,10,2325,¼ÒÍ¥,¹ÅÕò?ÉÍÇï,5723
ÇÐ¶û,Ç°·½£¡ºËÄÜÔ¤¾¯¡ª¡ªÖØ·µ¡°ÉúÃü½ûÇø¡±ÇÐ¶ûÅµ±´Àû,/2019/08/10,1,800,ÈýÎåºÃÓÑ,Éî¶ÈÓÎ?ÉãÓ°?Ì½ÏÕ?ÏÄ¼¾,7817
³É¶¼,±±·½ÀäÁË£¬À´ÎÒÃÇ°®µÄ³É¶¼£¬3Ìì2ÍíÈÃÃÀÊ³ÃÀ¾°ÎÂÅ¯ÎÒ,/2019/11/01,4,2500,ÇéÂÂ,ÃÀÊ³?¶¬¼¾,40000
Öéº£,Ã»ÓÐÊ²Ã´À­ºäµÄÃû×ÖÄÜÃèÊö³öÀ´µÄÃÀºÃ»ØÒä,/2019/10/01,7,2500,ÈýÎåºÃÓÑ,µÚÒ»´Î?×Ô¼Ý?¹úÇì,12000
ËÉÑô,ËÉÑô3ÈÕÉî¶ÈÓÎ£¬Ì½Ñ°×îºóµÄ½­ÄÏÃØ¾³,/2019/11/10,3,2000,ÈýÎåºÃÓÑ,Éî¶ÈÓÎ?ÉãÓ°?¹ÅÕò?ÉÍÇï,25000
¶¼ÔÈ,±¼¸°Ò»³¡Ê¢´óµÄÇà´º£º¡¶³ÂÇéÁî¡·È¡¾°µØ¹óÖÝ¶¼ÔÈÖ®ÂÃ,/2019/11/07,4,1500,¹ëÃÛ,ÉãÓ°?¶ÌÍ¾ÖÜÄ©?ÉÍÇï,9413
Ì«Ô­,KKÉ½Î÷£¬Ò»´ÎÇïµÄ¡°Åö×²¡±,/2019/11/14,5,2900,¹ëÃÛ,Í½²½?ÉãÓ°?ÉÍÇï,14000
·ðÉ½,ÖÜÄ©³öÓÎ£ü2Ìì1Ò¹Ë³µÂÃÀÊ³ÃÀ¾°Ïí²»Í£~,/2019/11/19,2,1000,¹ëÃÛ,ÃÀÊ³?ÉãÓ°,22000
ÖØÇì,ÖØÇì×ÔÓÉÐÐ,/2019/11/14,6,2200,¼ÒÍ¥,ÃÀÊ³?¹ÅÕò?ÉãÓ°?ÉÍÇï,7812
ÁêË®,Å¯Å¯¶¬ÈÕ£¬ÒÔ°®Ö®Ãû£¬åâåËº£ÄÏÁêË®×îÃÀÍøºì´ò¿¨µØ,/2019/11/18,3,2000,ÇéÂÂ,×Ô¼Ý?Ç±Ë®?º£±õº£µº?Êî¼Ù?¹úÇì,38000
³É¶¼,Ò»´ÎËµ×ß¾Í×ßµÄÂÃÐÐ£¬Ò»¶ÎÌ¸ÌìËµµØµÄÃÀÊ³Ö®ÂÃ,/2019/10/30,3,2500,ÈýÎåºÃÓÑ,¶ÌÍ¾ÖÜÄ©?ÃÀÊ³,164000
ÎÞÎý,´í¹ýÄã´ºÌìµÄÀËÂþ£¬åâåËÄãÇïÌìµÄ°ßìµ,/2019/11/15,2,1000,ÈýÎåºÃÓÑ,¶ÌÍ¾ÖÜÄ©,18000
ïö¹é,ÈýÏ¿´ó°ÓÐÂ¹¥ÂÔ£¬È¥ïö¹é¾Í¶ÔÁË£¬Á½¸ö5A¾°ÇøÒ»°ÙÔª£¬³¬ÖµÁ¼ÐÄ¼Û,/2019/11/03,2,500,ÈýÎåºÃÓÑ,Éî¶ÈÓÎ?¶ÌÍ¾ÖÜÄ©?×Ô¼Ý?¶ËÎç?ÖÐÇï½Ú,6884
Î÷°²,Î÷°²³ö·¢Ë«·ÉÖØÇìÁ½ÌìÈý¶Ù»ð¹ø¿ìÀÖµÄ×ÔÓÉÐÐÖ®ÂÃ,/2019/11/06,3,1500,ÈýÎåºÃÓÑ,ÇîÓÎ?ÃÀÊ³?ÉãÓ°,6227
º¼ÖÝ,½­ÄÏÒä£¬×îÒäÊÇº¼ÖÝ£»ºÎÈÕ¸üÖØÓÎ£¡,/2019/11/04,10,500,¶À×ÔÒ»ÈË,µÚÒ»´Î?Ê¥½Ú,2691
ÖØÇì,ÔøÊÇÉÙÄê|ÖØÇìËÄÊ®Ð¡Ê±,/2019/11/08,3,600,ÈýÎåºÃÓÑ,¶ÌÍ¾ÖÜÄ©?ÃÀÊ³?ÉãÓ°,15000
ÈýÑÇ,Ð¡·òÆÞÂÃÐÐÂ¼Ø­´ÇÖ°È¥ÂÃÐÐ£¬ÈýÑÇÊÇÎÒÃÇÐÂÉú»îµÄµÚÒ»Õ¾£¡,/2019/10/13,3,2000,ÇéÂÂ,Éî¶ÈÓÎ?×Ô¼Ý,30000
Áô°Ó,×Ô¼ÝÇØÁëÄÏÆÂÃØ¾³£¬¿´±éººÖÐ×îÃÀÇï¾°,/2019/11/07,3,1800,ÈýÎåºÃÓÑ,¶ÌÍ¾ÖÜÄ©?ÉÍÇï,175000
¿ËÀ­ÂêÒÀ,³õ¿´Ææ³óÏ¸ÇÆÄ§»ÃÑ§Ãû¶ñµØ¾ÍÔÚÔÚ¶À¿â¹«Â·ÌìÉ½½ÅÏÂºÜ¶àÈËÃ»¼û¹ý£¡,/2019/10/26,1,150,ÈýÎåºÃÓÑ,Éî¶ÈÓÎ?×Ô¼Ý?ÉãÓ°?ÉÍÇï,9072
ÖØÇì,ÖØÇìÂÃÓÎÍøºì°ÂÌÕ¼ÍÔõÃ´Íæ¶ù£¿Á½ÈÕÓÎ±¦µäÇëÊÕºÃ,/2019/11/02,2,600,ÇéÂÂ,¶ÌÍ¾ÖÜÄ©?×Ô¼Ý?ÉÍÇï,30000
±±¾©,Ô²×Ô¼ºµÄ±±¾©ÃÎ,/2019/11/08,3,1700,ÇéÂÂ,¶ÌÍ¾ÖÜÄ©,7099
÷ðÏØ,»ÕÖÝÇïÔÏÐÐ,/2019/11/02,5,1500,ÈýÎåºÃÓÑ,×Ô¼Ý?¹ÅÕò?ÉÍÇï,1127
ºÚË®ÏØ,´ï¹Å±ù´¨-±ÏÅï¹µ-ÐÜÃ¨»ùµØ°ë×ÔÓÉÐÐ,/2019/11/10,4,1500,¹ëÃÛ,ÇîÓÎ,5523
³±ÖÝ,³±ÖÝºú³Ôº£ÈûÏ¹ÍæÈýÌì°ë,/2019/11/07,4,1200,ÈýÎåºÃÓÑ,µÚÒ»´Î?ÉÍÇï,7447
Ì¨ÖÝ,É½º£Ì¨ÖÝÓæ´å¹ÊÊÂ£¬³õÇïµÄÎÂÁë¶À¾ßÀËÂþ,/2019/10/25,3,2000,ÈýÎåºÃÓÑ,Éî¶ÈÓÎ?¶ÌÍ¾ÖÜÄ©?×Ô¼Ý,16000
Îäµ±É½,Í½²½ÎåÁú¹¬¶ÀÓÎÎäµ±É½,/2019/10/27,4,2700,¶À×ÔÒ»ÈË,Éî¶ÈÓÎ?Í½²½?ÉãÓ°?ÉÍÇï,6228
ÉèÀ­×Ó,Ì½Ë÷´¾ÆÓµÄ²¨Ë¹µÛ¹úÖ®ÒÁÀÊÐ¡¼Ç£¨³ÖÐø¸üÐÂÖÐ£©,/2019/10/01,8,1730,¶À×ÔÒ»ÈË,µÚÒ»´Î?ÇîÓÎ?ÃÀÊ³?¹úÇì,4103
º¼ÖÝ,Ç§ÃæÏôÉ½£¬ÔÚ¾ÉÊ±¹âÀï×·Òä×îÃÀ½­ÄÏ,/2019/11/04,2,1000,ÈýÎåºÃÓÑ,Éî¶ÈÓÎ?¶ÌÍ¾ÖÜÄ©?¹ÅÕò,40000
±±¾©,Îª£¡¹Ê¶¼µÄÇï£¡,/2019/11/02,3,2000,¹ëÃÛ,µÚÒ»´Î?ÇîÓÎ?ÉÍ·ã?ÉÍÇï,2095
º¼ÖÝ,¡¾Ò»³ÇÉ½É«°ë³Çºþ¡¿À´º¼ÖÝ¸ÐÊÜÊ«»­½­ÄÏ,/2019/09/13,3,1200,¶À×ÔÒ»ÈË,¶ÌÍ¾ÖÜÄ©?ÉãÓ°?ÖÐÇï½Ú,8321
³É¶¼,ºÈ²è¡¢ß£´®¡¢¹äÊéµê£¬³¤Í¾×Ô¼ÝºóµÄ³É¶¼ÐÝÏÐÊ±¹â,/2019/10/13,4,2000,ÈýÎåºÃÓÑ,ÃÀÊ³,77000
ÎÞÎý,Ì«ºþÖ®ÉÏ£¬ÔÙ»áÎÞÎýÇïÈÕ×îÃÀµÄÊ±¿Ì¡£,/2019/11/06,2,2000,ÈýÎåºÃÓÑ,ÉãÓ°?ÉÍ·ã?¹ÅÕò,27000
Ë³µÂ,²»ÊÇÍøºì×öµÄÓÎ¼ÇµÄÓÎ¼Ç,/2019/11/02,4,2000,ÈýÎåºÃÓÑ,µÚÒ»´Î?ÃÀÊ³?¹ÅÕò?ÉÍÇï,22000
Õò½­,Î÷½ò¶É×îÇ¿¹¥ÂÔ£ü´ò¿¨Õò½­¡°ÐÂ¡±µØ±ê£¬Óë¹Å¶ÉÀ´Ò»³¡Ç§ÄêµÄ¶Ô»°£¡,/2019/10/19,2,1000,ÈýÎåºÃÓÑ,¶ÌÍ¾ÖÜÄ©?ÃÀÊ³?ÉãÓ°,32000
Äµµ¤½­,ÓÐÒ»ÖÖÑ©??Ö»ÓÐÈ¥¹ýÑ©Ïç²Å»á¶®,/2019/11/02,3,800,ÇéÂÂ,¶ÌÍ¾ÖÜÄ©?¶¬¼¾,26000
Î÷°²,³¤°²ÃÀÊ³Ê®¶þÊ±³½Ø­Ô¸Ã¿¸öÊ±³½¶¼ÓÐÃÀÊ³ÎÂÅ¯ÄãµÄÎ¸,/2019/10/15,1,800,ÈýÎåºÃÓÑ,×Ô¼Ý?ÃÀÊ³?ÏÄ¼¾?¶¬¼¾,47000
³É¶¼,Éú»îÓÐÄã£¬ÃÀÊ³ÓÐÎÒ¡¬ºÍÎÒÒ»Æð¸ÐÊÜÓëÖÚ²»Í¬µÄÃÀÊ³,/2019/10/24,3,1500,¹ëÃÛ,¶ÌÍ¾ÖÜÄ©,11000
ÖØÇì,ÀÕÊÇÎí¶¼£¡Ê±¸ô¼¸ÄêÔÙÓÎÉ½³ÇÖØÇì,/2019/10/22,4,1521,¶À×ÔÒ»ÈË,Éî¶ÈÓÎ?ÉãÓ°?¶¬¼¾,16000
ÎÄ³É,ÂÃÓÎÕã½­×îÃÀÐ¡³Ç£¬·ç¾°ÐãÀö»¹ÊÇÃûÈË¹ÊÀï,/2019/10/29,4,2000,ÇéÂÂ,¶ÌÍ¾ÖÜÄ©?ÃÀÊ³?ÉãÓ°,39000
ÎÄ³É,Õã½­ÃØ¾³ÎÄ³ÉÀïµÄ´óºÃ·ç¹â,/2019/11/02,4,2500,ÈýÎåºÃÓÑ,Éî¶ÈÓÎ?Í½²½?ÎÂÈª?ÉÍÇï,557
ÉîÛÚ,´ò¿¨ÉîÛÚ¸£Ìï£¬Ç×Éí¸ÐÊÜÄÏÔÁÖ®¶¼µÄ÷ÈÁ¦,/2019/10/20,3,2500,ÈýÎåºÃÓÑ,ÃÀÊ³?ÉãÓ°,3977
ÈýÑÇ,ÈýÑÇÓÐÎÒÌðÌðµÄÁµ°®,/2019/10/17,6,2000,ÇéÂÂ,Éî¶ÈÓÎ,13000
Çú¸·,ÖÜÄ©×Ô¼ÝÄáÉ½Ê¥¾³£¬½ü¾àÀë¸ÐÊÜÈå¼ÒÎÄ»¯,/2019/10/13,2,1000,¼ÒÍ¥,µÚÒ»´Î?¶ÌÍ¾ÖÜÄ©?×Ô¼Ý?¹úÇì,24000
ÎÂÖÝ,ÕãÀïÎÄ³É£¬²®ÎÂ¹ÊÀï£¬³©ÏíÒ»³¡É½Ë®ÓëÎÄ»¯½»ÈÚÖ®ÂÃ£¡,/2019/10/24,4,1200,ÈýÎåºÃÓÑ,×Ô¼Ý?ÃÀÊ³,21000
³É¶¼,³É¶¼ÃÀÊ³£¬¸øÎÒÉÏÁËÒ»¿Î,/2019/09/29,3,1000,ÈýÎåºÃÓÑ,ÃÀÊ³?ÉãÓ°,28000
ÏÉ±¾ÄÇ,À¶É«ÒÁµéÔ°¡ª¡ª¸É±­£¡Í´ÒûÏÉ±¾ÄÇÕâ±­ÍêÃÀ¼ÑÄð,/2019/08/22,7,2500,ÇéÂÂ,Éî¶ÈÓÎ?ÇîÓÎ?Ç±Ë®?Êî¼Ù,12000
³±ÖÝ,10ÔÂ³±ÉÇÐÐÍêÃÀµÄÂÃ³Ì£¡ÖµµÃÍÆ¼öµÄµØ·½£¡,/2019/10/21,5,2000,Ç××Ó,µÚÒ»´Î?º£±õº£µº?ÉÍÇï,45000
Çàµº,Çàµº¸¡É½¡¢É½¶«´óÑ§±ÏÒµÓÎÖ®¶þ,/2019/06/01,2,500,¶À×ÔÒ»ÈË,¶ÌÍ¾ÖÜÄ©?Í½²½?ÃÀÊ³?ÏÄ¼¾,5536
¼ÃÄÏ,ÅãÀÏÂè6ÈÕÍæ×ªÌ©É½¡¢¼ÃÄÏÈ«¹¥ÂÔ,/2019/10/19,6,2700,¼ÒÍ¥,ÃÀÊ³?ÉÍÇï,7426
